vi_text,labels
Tại TJX chúng tôi vẫn cam kết hỗ trợ sự hoà nhập và đa dạng và tăng khả năng tiếp cận các cơ hội cho tất cả các tiếng nói,2
Chúng tôi nỗ lực đưa sự đa dạng công bằng và bao hàm vào mọi thứ chúng tôi làm từ các sản phẩm chúng tôi thiết kế và các quyết định chúng tôi đưa ra cho đến các cộng đồng chúng tôi hoạt động và các mối quan hệ chúng tôi giữ với khách hàng nhà cung cấp và cổ đông,2
"Công ty báo cáo doanh thu thuần là 7,29 triệu bảng Anh và doanh thu hoạt động kinh doanh tăng 20%.",0
Chúng tôi đang hướng tới các mục tiêu đa dạng công bằng và bao hàm DEI nhằm tăng sự đại diện của phụ nữ và các nhóm người thiểu số trong các phân tích lương bình đẳng hàng năm và tăng chi tiêu toàn hệ thống của Hoa Kỳ với các nhà cung cấp thuộc sở hữu đa dạng,2
Dưới đây là Lưu trữ dữ liệu lượng phát thải của Coteccons cho cả công trình xây dựng và dự án hoàn thành.,1
Chúng tôi ghi nhận và đánh giá cao những thành tựu của tập thể đội ngũ nhân viên tận tụy trong việc cải thiện các phương thức bảo đảm vệ sinh thực phẩm,2
Ngoài ra các vị trí tuyển dụng khác chủ yếu là bổ sung cho những người đã nghỉ hưu hoặc thay thế nhân viên không đủ hiệu quả làm việc,2
Ngoài ra Ross tham khảo luật pháp và các tiêu chuẩn an toàn có liên quan khi thiết kế chiến lược mua và bán của chúng tôi,3
Các chính sách làm việc từ xa giãn cách xã hội và trú ẩn tại chỗ của chúng tôi cũng đã góp phần giúp nhân viên duy trì sức khỏe và an toàn,2
Cùng với Operation Smile Việt Nam trong Buổi dạ hội đấu giá từ thiện nhằm cung cấp phẫu thuật miễn phí cho 400 trẻ em bị dị tật sứt môi và hở hàm ếch trên khắp đất nước,2
Tích hợp các đại lý vào cộng đồng địa phương Mục tiêu của chúng tôi là được công nhận là một người hàng xóm tốt nơi chúng tôi vận hành đại lý,0
Năm 2022 doanh thu phí bảo hiểm từ các hợp đồng đang có hiệu lực đã tăng 118 so với cùng kỳ năm trước,3
Báo cáo đặc biệt của Ủy ban liên chính phủ về biến đổi khí hậu năm 2018 nhấn mạnh tính cấp bách và những hành động cần thiết để hạn chế sự nóng lên toàn cầu ở mức 15C điều này sẽ giữ cho hành tinh được an toàn,1
Các đơn vị trực thuộc Tập đoàn Dầu khí Việt Nam PVN bao gồm các công ty con không được phân loại các viện nghiên cứu khoa học các trường đại học và các đơn vị sự nghiệp phục vụ cho mục đích chung trong cơ cấu của PVN,2
Truy cập ngày 27 tháng 10 năm 2012 a ă â Policy of Southwest Airlines Concerning Harassment Sexual Harassment Discrimination Retaliation,0
Đó cũng là lý do chính chúng tôi tự tin vào khả năng chung để theo đuổi những sáng kiến thúc đẩy Hành trình ESG của chúng tôi,0
Nghiên cứu phát triển các phương thức tái chế tái sử dụng nguyên liệu xem xét việc áp dụng những tài liệu và chất liệu mới không độc hại phù hợp với môi trường vào hoạt động sản xuất kinh doanh trong công ty,3
Việc quản lý các giải pháp xử lý chất thải trong xây dựng đòi hỏi những cách tiếp cận cụ thể để duy trì sự kiểm soát ảnh hưởng lên môi trường,1
"Hội đồng quản trị công ty ưu tiên sử dụng lợi nhuận kinh doanh để đầu tư vào sự tăng trưởng và phát triển của các dự án mới, thu thập tài sản có giá trị lớn về lâu dài.",3
"Chúng tôi xin gửi lời cảm ơn sâu sắc đến các đối tác cung ứng đã hỗ trợ từ những ngày đầu trên hành trình chuyển đổi sang sử dụng nguồn trứng theo phương thức chăn nuôi nhân đạo, không chỉ tại Việt Nam mà còn ở Campuchia và Nhật Bản.",2
SSIAM một công ty quản lý quỹ thuộc Công ty Chứng khoán Sài Gòn tham gia vào sáng kiến UNPRI với cam kết sẽ tuân thủ theo các Nguyên tắc về Đầu tư Có trách nhiệm của Liên Hiệp Quốc như sau quy trình phân tích đầu tư và ra quyết định,3
Vào năm 2022 29 nhân viên đã được thăng chức vào các vị trí cấp cao hơn trong đó có 24 nam và 5 nữ,2
Phần lớn Ban quản trị của Marriott là người thiểu số hoặc phụ nữ và đạt được sự bình đẳng giới tính toàn cầu ở các vị trí điều hành vào năm 2023 hai năm trước mục tiêu ban đầu và thiết lập mục tiêu mới để đạt được 25 đại diện người da màu ở các vị trí điều hành tại Hoa Kỳ vào năm 2025,2
Sản phẩm phải có chất lượng cao và được bảo vệ về mặt pháp lý bao gồm sự lành mạnh của chúng đối với con người,2
Lãi suất thu nhập chỉ nên được ghi nhận trong báo cáo tài chính tổng hợp theo phương pháp dồn tích cho các khoản vay có phân loại là nợ đủ điều kiện và không cần trích lập dự phòng rủi ro đặc biệt,3
Để bắt đầu chúng tôi truyền đạt các tiêu chuẩn và yêu cầu của mình và đào tạo cho các nhà cung cấp người mua và đại lý mua hàng ở nước ngoài trong quá trình mua hàng của chúng tôi,2
Là một phần cam kết đảm bảo tính minh bạch của Hệ thống ĐMC chúng tôi báo cáo các chỉ số ĐMC theo tiêu chuẩn SASB của ngành bán lẻ và phân phối đa cấp và chuyên ngành,0
Các tình nguyện viên từ Coteccons đã đóng góp tổng cộng 380 đơn vị máu trong những buổi quyên góp gần đây.,2
Dựa trên Điều 74 của Luật An toàn và Sức khỏe Lao động năm 2015 mỗi Ban chức năng trong Tập đoàn Bảo Việt nên có ít nhất một cán bộ kiêm nhiệm làm việc cho các vấn đề về an toàn và sức khoẻ,2
Các nhà cung cấp của chúng tôi cũng được yêu cầu phải đảm bảo rằng bất kỳ nhà máy hoặc nhà thầu phụ nào họ sử dụng tuân thủ các nguyên tắc của Bộ luật của chúng tôi,2
Điều này bao gồm các cuộc phỏng vấn với Lãnh đạo điều hành Tây Nam Nhóm chỉ đạo điều hành công dân Tây Nam và các nhóm làm việc đa chức năng Tây Nam,2
Các mẫu 100 được xem xét kỹ lưỡng từ ACB đã xác định rằng chúng phù hợp với việc xả vào môi trường,1
"Tập trung vào việc tái chế sợi và nhuộm màu để duy trì sự cân bằng giữa các bên liên quan và tác động môi trường, tại Sợi Thế Kỷ, chúng tôi ưu tiên phát triển sản phẩm thân thiện với môi trường đồng thời đảm bảo tính khả thi về mặt kinh tế.",1
Tỷ lệ người lao động được huấn luyện an toàn vệ sinh lao động là 100,2
Hệ thống này phải đảm bảo rằng việc lập thông tin về các chỉ số được lựa chọn không có lỗi trọng yếu do gian lận hoặc nhầm lẫn,3
