                                                                                                                                                                
{'loss': 1.3895, 'grad_norm': 1.3052209615707397, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.3898, 'grad_norm': 1.3431860208511353, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3793, 'grad_norm': 1.1169312000274658, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3834, 'grad_norm': 1.6182198524475098, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.3737, 'grad_norm': 1.0566884279251099, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.3626, 'grad_norm': 1.8958989381790161, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.3534, 'grad_norm': 1.5317010879516602, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 1.3408, 'grad_norm': 1.7537165880203247, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 1.2848, 'grad_norm': 2.117495059967041, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 1.1966, 'grad_norm': 8.845300674438477, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 1.1057, 'grad_norm': 6.067270278930664, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 1.0766, 'grad_norm': 11.05884838104248, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 0.9577, 'grad_norm': 10.772974967956543, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 0.8933, 'grad_norm': 6.019833087921143, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 0.7425, 'grad_norm': 10.882302284240723, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 0.7665, 'grad_norm': 19.337614059448242, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 0.6666, 'grad_norm': 9.773634910583496, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 0.668, 'grad_norm': 19.8804874420166, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 0.705, 'grad_norm': 13.372679710388184, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
{'loss': 0.6732, 'grad_norm': 11.051554679870605, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.15}
{'loss': 0.5562, 'grad_norm': 7.443120956420898, 'learning_rate': 2.09e-05, 'epoch': 0.16}
{'loss': 0.5887, 'grad_norm': 10.780661582946777, 'learning_rate': 2.19e-05, 'epoch': 0.17}
{'loss': 0.6137, 'grad_norm': 7.360001087188721, 'learning_rate': 2.29e-05, 'epoch': 0.18}
{'loss': 0.5714, 'grad_norm': 15.18140697479248, 'learning_rate': 2.39e-05, 'epoch': 0.18}
{'loss': 0.5554, 'grad_norm': 4.871495246887207, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.19}
