                                                                                                                                                                
{'loss': 1.3845, 'grad_norm': 2.4477295875549316, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.3768, 'grad_norm': 2.269716739654541, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3735, 'grad_norm': 2.3827602863311768, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3614, 'grad_norm': 2.3406460285186768, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.3395, 'grad_norm': 2.1362314224243164, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.3015, 'grad_norm': 3.177495241165161, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.2792, 'grad_norm': 3.6165623664855957, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 1.21, 'grad_norm': 2.462181568145752, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 1.1482, 'grad_norm': 3.1225123405456543, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 1.0442, 'grad_norm': 5.338204860687256, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 0.9582, 'grad_norm': 7.39987850189209, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 0.9193, 'grad_norm': 7.24411678314209, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 0.7717, 'grad_norm': 4.5870232582092285, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 0.7713, 'grad_norm': 6.883999347686768, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 0.6756, 'grad_norm': 10.066869735717773, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 0.5985, 'grad_norm': 8.08513355255127, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 0.5687, 'grad_norm': 6.306980133056641, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 0.55, 'grad_norm': 22.50987434387207, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 0.5892, 'grad_norm': 14.21458625793457, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
