vi_text,label_names,confidence,labels,pseudo_labeled,source
"trong lĩnh vực kinh doanh ""tiền gửi bán lẻ"" của mình, chúng tôi đã liên tục theo dõi một số vấn đề chính trong điều kiện kinh tế vĩ mô thường hay bất ổn, bao gồm tình trạng cạnh tranh ""chiến đấu"" ngày càng gay gắt trong ngành tài chính xã hội mỹ, tốc độ lãi suất giảm xuống, tình hình tài chính toàn cục ""tốt"" của người tiêu dùng, tiềm đạn tác động của đại dịch, những biện pháp kích thích kinh tế qua đó xảy ra bất ổn, và cách thức mà khách hàng triển khai kế hoạch tiết kiệm tài sản hoành đặng nhằm tăng sản lượng thương phẩm tiêu thụ qua thời gian.",Irrelevant,0.9959463477134705,0,True,pseudo_labeling
sự tiêu thụ này sẽ cung cấp cơ sở để tính toán hiệu quả năng lượng của chương trình hiệu quả năng lượng của eco siemens.,Evironment,0.9950984120368958,1,True,pseudo_labeling
"loại hiệu suất csr được mong đợi của các công ty nhật bản là một nỗ lực đa chiều liên quan đến môi trường, nhân quyền, lao động và trách nhiệm về sản phẩm.",Social,0.9556307792663574,2,True,pseudo_labeling
"từ cáo trạng miễn phí khỏi sai sót về tài liệu, dù là do gian lận hay lỗi, và do sau đó đưa ra một báo cáo kiểm toán viên bao gồm ý kiến của chúng tôi.",Governance,0.9847492575645447,3,True,pseudo_labeling
"sự cạnh tranh dựa trên một số yếu tố, như giá cả, chất lượng sản phẩm và dịch vụ.",Irrelevant,0.9980236291885376,0,True,pseudo_labeling
những thay đổi rõ rệt do lượng mưa không đều đang xuất hiện.,Evironment,0.9194501638412476,1,True,pseudo_labeling
công vấn và thực tiễn báo cáo hàng năm của công ty chấp nhận các yêu cầu từ bên quan tâm đến giá lương cao chú ý và làm theo.,Social,0.9219980239868164,2,True,pseudo_labeling
"những khách hàng thường trú trong các nước có nguy cơ rủi ro cao, nơi hệ thống luật pháp, cơ sở hạ tầng hoặc công khai tài chính bị xem là khiếm khuyết và nơi mà nạn tham nhũng hoạt động mạnh, sẽ được tránh xa.",Governance,0.9945883750915527,3,True,pseudo_labeling
sơn cho biết những chính sách này được xem là nền tảng ban đầu để thiết lập hệ thống khuôn khổ esg trong hoạt động của các ngân hàng và tổ chức tín dụng theo các quy định quốc tế.,Irrelevant,0.9919266700744629,0,True,pseudo_labeling
"con số dành riêng hàng hóa vốn (ví máy móc, tòa nhà), cơ sở hạ tầng (ví đường, hệ thống đường chuyền điện), nhân viên đi lại, thiết bị sạc bên ngoài và cơ sở hạ tầng, bảo trì và dịch vụ trong quá trình sử dụng, đóng gói, vận chuyển đến nhà tái chế, xử lý chất thải sản xuất, vận chuyển từ phân phối tier đến khách hàng.",Evironment,0.9958009123802185,1,True,pseudo_labeling
"sự bền vững thực sự còn bao gồm các vấn đề về đạo đức, pháp lý, xã hội, tuân thủ, rủi ro và nguồn nhân lực.",Social,0.9820757508277893,2,True,pseudo_labeling
"sự thành viên danh sách các hội viên hỗ trợ phát triển bền vững của chúng tôi liên quan đến các hiệp hội và tổ chức quốc gia hoặc quốc tế, trong đó chúng tôi nắm giữ một vị trí trong cơ quan quản trị, tham gia vào các dự án hoặc ủy ban, tài trợ, hoặc coi là chiến lược cho chiến lược bền vững của chúng tôi.",Governance,0.9976295232772827,3,True,pseudo_labeling
