                                                                                                                                                                
{'loss': 1.3881, 'grad_norm': 1.3674981594085693, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.3886, 'grad_norm': 1.9833178520202637, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3845, 'grad_norm': 1.692630648612976, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3863, 'grad_norm': 2.1433117389678955, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.3806, 'grad_norm': 1.0746475458145142, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.3772, 'grad_norm': 3.266730308532715, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.3783, 'grad_norm': 2.699270009994507, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 1.3882, 'grad_norm': 1.7488116025924683, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 1.3683, 'grad_norm': 1.7384494543075562, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 1.3331, 'grad_norm': 4.6995391845703125, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 1.3189, 'grad_norm': 9.183306694030762, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 1.303, 'grad_norm': 5.298790454864502, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 1.318, 'grad_norm': 4.026540756225586, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 1.2659, 'grad_norm': 4.055770397186279, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 1.2603, 'grad_norm': 9.085383415222168, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 1.318, 'grad_norm': 9.357643127441406, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 1.2633, 'grad_norm': 6.6737380027771, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 1.2773, 'grad_norm': 6.117830276489258, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 1.231, 'grad_norm': 7.796438217163086, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
{'loss': 1.119, 'grad_norm': 20.53291130065918, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.15}
{'loss': 1.0811, 'grad_norm': 18.369688034057617, 'learning_rate': 2.09e-05, 'epoch': 0.16}
{'loss': 1.0431, 'grad_norm': 10.605488777160645, 'learning_rate': 2.19e-05, 'epoch': 0.17}
{'loss': 0.958, 'grad_norm': 10.59765338897705, 'learning_rate': 2.29e-05, 'epoch': 0.18}
{'loss': 1.0203, 'grad_norm': 21.4405460357666, 'learning_rate': 2.39e-05, 'epoch': 0.18}
{'loss': 0.8695, 'grad_norm': 10.521439552307129, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.19}
{'loss': 1.0067, 'grad_norm': 11.851493835449219, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.2}
{'loss': 0.9731, 'grad_norm': 13.806903839111328, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.21}
{'loss': 0.8933, 'grad_norm': 10.206910133361816, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.21}
{'loss': 0.9259, 'grad_norm': 14.847424507141113, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.22}
{'loss': 0.7859, 'grad_norm': 9.687423706054688, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.23}
{'loss': 0.7465, 'grad_norm': 11.227887153625488, 'learning_rate': 3.09e-05, 'epoch': 0.24}
{'loss': 0.7853, 'grad_norm': 9.559551239013672, 'learning_rate': 3.19e-05, 'epoch': 0.24}
{'loss': 0.7635, 'grad_norm': 12.694916725158691, 'learning_rate': 3.29e-05, 'epoch': 0.25}
{'loss': 0.7596, 'grad_norm': 8.903740882873535, 'learning_rate': 3.3900000000000004e-05, 'epoch': 0.26}
{'loss': 0.8157, 'grad_norm': 17.947784423828125, 'learning_rate': 3.49e-05, 'epoch': 0.27}
{'loss': 0.7514, 'grad_norm': 14.21204662322998, 'learning_rate': 3.59e-05, 'epoch': 0.27}
{'loss': 0.8154, 'grad_norm': 11.205985069274902, 'learning_rate': 3.69e-05, 'epoch': 0.28}
{'loss': 0.6598, 'grad_norm': 11.901717185974121, 'learning_rate': 3.79e-05, 'epoch': 0.29}
{'loss': 0.8197, 'grad_norm': 11.000951766967773, 'learning_rate': 3.8900000000000004e-05, 'epoch': 0.3}
{'loss': 0.6942, 'grad_norm': 8.893293380737305, 'learning_rate': 3.99e-05, 'epoch': 0.3}
{'loss': 0.6079, 'grad_norm': 10.423934936523438, 'learning_rate': 4.09e-05, 'epoch': 0.31}
{'loss': 0.8111, 'grad_norm': 9.298298835754395, 'learning_rate': 4.19e-05, 'epoch': 0.32}
{'loss': 0.7966, 'grad_norm': 9.69173812866211, 'learning_rate': 4.29e-05, 'epoch': 0.33}
{'loss': 0.7601, 'grad_norm': 10.19593620300293, 'learning_rate': 4.39e-05, 'epoch': 0.34}
{'loss': 0.7807, 'grad_norm': 9.994556427001953, 'learning_rate': 4.49e-05, 'epoch': 0.34}
{'loss': 0.7826, 'grad_norm': 9.936397552490234, 'learning_rate': 4.5900000000000004e-05, 'epoch': 0.35}
{'loss': 0.6824, 'grad_norm': 10.857625007629395, 'learning_rate': 4.69e-05, 'epoch': 0.36}
{'loss': 0.7022, 'grad_norm': 9.085631370544434, 'learning_rate': 4.79e-05, 'epoch': 0.37}
{'loss': 0.7883, 'grad_norm': 10.839902877807617, 'learning_rate': 4.89e-05, 'epoch': 0.37}
{'loss': 0.686, 'grad_norm': 12.442573547363281, 'learning_rate': 4.99e-05, 'epoch': 0.38}
{'loss': 0.7256, 'grad_norm': 10.121444702148438, 'learning_rate': 4.9976923076923076e-05, 'epoch': 0.39}
{'loss': 0.7565, 'grad_norm': 13.249612808227539, 'learning_rate': 4.995128205128205e-05, 'epoch': 0.4}
{'loss': 0.714, 'grad_norm': 8.538683891296387, 'learning_rate': 4.992564102564103e-05, 'epoch': 0.4}
{'loss': 0.7417, 'grad_norm': 5.789656639099121, 'learning_rate': 4.99e-05, 'epoch': 0.41}
{'loss': 0.6508, 'grad_norm': 13.236528396606445, 'learning_rate': 4.987435897435898e-05, 'epoch': 0.42}
{'loss': 0.7627, 'grad_norm': 13.576285362243652, 'learning_rate': 4.984871794871795e-05, 'epoch': 0.43}
{'loss': 0.7093, 'grad_norm': 11.200872421264648, 'learning_rate': 4.982307692307693e-05, 'epoch': 0.43}
{'loss': 0.6941, 'grad_norm': 9.64840030670166, 'learning_rate': 4.97974358974359e-05, 'epoch': 0.44}
{'loss': 0.6548, 'grad_norm': 10.264101028442383, 'learning_rate': 4.977179487179487e-05, 'epoch': 0.45}
{'loss': 0.5798, 'grad_norm': 12.813286781311035, 'learning_rate': 4.974615384615385e-05, 'epoch': 0.46}
{'loss': 0.6116, 'grad_norm': 12.247587203979492, 'learning_rate': 4.972051282051282e-05, 'epoch': 0.46}
{'loss': 0.721, 'grad_norm': 6.150939464569092, 'learning_rate': 4.9694871794871796e-05, 'epoch': 0.47}
{'loss': 0.5904, 'grad_norm': 7.114872932434082, 'learning_rate': 4.966923076923077e-05, 'epoch': 0.48}
{'loss': 0.5863, 'grad_norm': 6.133319854736328, 'learning_rate': 4.964358974358975e-05, 'epoch': 0.49}
{'loss': 0.7507, 'grad_norm': 7.025444984436035, 'learning_rate': 4.961794871794872e-05, 'epoch': 0.5}
{'loss': 0.686, 'grad_norm': 11.7315092086792, 'learning_rate': 4.959230769230769e-05, 'epoch': 0.5}
{'loss': 0.6101, 'grad_norm': 10.51882553100586, 'learning_rate': 4.956666666666667e-05, 'epoch': 0.51}
{'loss': 0.5783, 'grad_norm': 9.45542049407959, 'learning_rate': 4.9541025641025645e-05, 'epoch': 0.52}
{'loss': 0.7137, 'grad_norm': 11.123173713684082, 'learning_rate': 4.951538461538462e-05, 'epoch': 0.53}
{'loss': 0.6936, 'grad_norm': 6.091048240661621, 'learning_rate': 4.948974358974359e-05, 'epoch': 0.53}
{'loss': 0.5991, 'grad_norm': 6.298678874969482, 'learning_rate': 4.946410256410257e-05, 'epoch': 0.54}
{'loss': 0.6176, 'grad_norm': 8.300396919250488, 'learning_rate': 4.943846153846154e-05, 'epoch': 0.55}
{'loss': 0.6525, 'grad_norm': 9.33008861541748, 'learning_rate': 4.9412820512820516e-05, 'epoch': 0.56}
{'loss': 0.5949, 'grad_norm': 9.511585235595703, 'learning_rate': 4.938717948717949e-05, 'epoch': 0.56}
{'loss': 0.5744, 'grad_norm': 5.645954608917236, 'learning_rate': 4.9361538461538464e-05, 'epoch': 0.57}
{'loss': 0.6617, 'grad_norm': 9.224035263061523, 'learning_rate': 4.933589743589744e-05, 'epoch': 0.58}
{'loss': 0.6453, 'grad_norm': 6.151031017303467, 'learning_rate': 4.931025641025641e-05, 'epoch': 0.59}
{'loss': 0.5973, 'grad_norm': 12.91950511932373, 'learning_rate': 4.928461538461539e-05, 'epoch': 0.59}
{'loss': 0.5782, 'grad_norm': 11.4945650100708, 'learning_rate': 4.9258974358974365e-05, 'epoch': 0.6}
{'loss': 0.5564, 'grad_norm': 8.712191581726074, 'learning_rate': 4.9233333333333335e-05, 'epoch': 0.61}
{'loss': 0.4897, 'grad_norm': 8.362805366516113, 'learning_rate': 4.920769230769231e-05, 'epoch': 0.62}
{'loss': 0.5431, 'grad_norm': 8.669207572937012, 'learning_rate': 4.918205128205128e-05, 'epoch': 0.62}
{'loss': 0.6433, 'grad_norm': 9.797554969787598, 'learning_rate': 4.915641025641026e-05, 'epoch': 0.63}
{'loss': 0.6005, 'grad_norm': 9.386237144470215, 'learning_rate': 4.9130769230769237e-05, 'epoch': 0.64}
{'loss': 0.5743, 'grad_norm': 8.603249549865723, 'learning_rate': 4.910512820512821e-05, 'epoch': 0.65}
{'loss': 0.5295, 'grad_norm': 8.854728698730469, 'learning_rate': 4.9079487179487184e-05, 'epoch': 0.65}
{'loss': 0.5619, 'grad_norm': 10.485588073730469, 'learning_rate': 4.9053846153846154e-05, 'epoch': 0.66}
{'loss': 0.5738, 'grad_norm': 13.513261795043945, 'learning_rate': 4.902820512820513e-05, 'epoch': 0.67}
{'loss': 0.5522, 'grad_norm': 8.876603126525879, 'learning_rate': 4.90025641025641e-05, 'epoch': 0.68}
{'loss': 0.5766, 'grad_norm': 11.39834213256836, 'learning_rate': 4.897692307692308e-05, 'epoch': 0.69}
