  2%|▌                                    | 313/20000 [01:49<1:37:04,  3.38it/s]
{'loss': 1.3782, 'grad_norm': 1.2083007097244263, 'learning_rate': 9e-07, 'epoch': 0.03}
{'loss': 1.385, 'grad_norm': 1.2893216609954834, 'learning_rate': 1.9e-06, 'epoch': 0.06}
{'loss': 1.3841, 'grad_norm': 0.8595157265663147, 'learning_rate': 2.9e-06, 'epoch': 0.1}
{'loss': 1.3659, 'grad_norm': 1.0794322490692139, 'learning_rate': 3.9e-06, 'epoch': 0.13}
{'loss': 1.3612, 'grad_norm': 1.0375105142593384, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.16}
{'loss': 1.34, 'grad_norm': 0.9993001818656921, 'learning_rate': 5.9e-06, 'epoch': 0.19}
{'loss': 1.3286, 'grad_norm': 1.5652092695236206, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.22}
{'loss': 1.3156, 'grad_norm': 1.2906383275985718, 'learning_rate': 7.9e-06, 'epoch': 0.26}
{'loss': 1.3117, 'grad_norm': 1.2154258489608765, 'learning_rate': 8.9e-06, 'epoch': 0.29}
{'loss': 1.2949, 'grad_norm': 1.5704560279846191, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.32}
{'loss': 1.2571, 'grad_norm': 1.4460145235061646, 'learning_rate': 1.09e-05, 'epoch': 0.35}
{'loss': 1.2342, 'grad_norm': 2.0857741832733154, 'learning_rate': 1.19e-05, 'epoch': 0.38}
{'loss': 1.1913, 'grad_norm': 2.1398847103118896, 'learning_rate': 1.29e-05, 'epoch': 0.42}
{'loss': 1.1567, 'grad_norm': 2.2422642707824707, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.45}
{'loss': 1.046, 'grad_norm': 2.7526397705078125, 'learning_rate': 1.49e-05, 'epoch': 0.48}
{'loss': 0.9382, 'grad_norm': 2.9638113975524902, 'learning_rate': 1.59e-05, 'epoch': 0.51}
{'loss': 0.9048, 'grad_norm': 4.017683029174805, 'learning_rate': 1.69e-05, 'epoch': 0.54}
{'loss': 0.8358, 'grad_norm': 3.881798505783081, 'learning_rate': 1.79e-05, 'epoch': 0.58}
{'loss': 0.7278, 'grad_norm': 3.580143928527832, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.61}
{'loss': 0.7147, 'grad_norm': 3.652244806289673, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.64}
{'loss': 0.7038, 'grad_norm': 6.298442363739014, 'learning_rate': 2.09e-05, 'epoch': 0.67}
{'loss': 0.6188, 'grad_norm': 3.386831283569336, 'learning_rate': 2.19e-05, 'epoch': 0.7}
{'loss': 0.6328, 'grad_norm': 5.665191650390625, 'learning_rate': 2.29e-05, 'epoch': 0.73}
{'loss': 0.573, 'grad_norm': 4.390490531921387, 'learning_rate': 2.39e-05, 'epoch': 0.77}
{'loss': 0.596, 'grad_norm': 4.131757736206055, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.8}
{'loss': 0.5985, 'grad_norm': 5.47265625, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.83}
{'loss': 0.5949, 'grad_norm': 7.568971157073975, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.86}
{'loss': 0.5729, 'grad_norm': 3.806212902069092, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.89}
{'loss': 0.5261, 'grad_norm': 5.954598426818848, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.93}
{'loss': 0.5355, 'grad_norm': 4.9626617431640625, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.96}
{'loss': 0.4816, 'grad_norm': 5.940711975097656, 'learning_rate': 3.09e-05, 'epoch': 0.99}
                                                                                
{'eval_loss': 0.604715883731842, 'eval_f1_macro': 0.781085429213942, 'eval_f1_micro': 0.8063333333333333, 'eval_f1_weighted': 0.7983261784527916, 'eval_precision': 0.8376119894108579, 'eval_recall': 0.8063333333333333, 'eval_accuracy': 0.8063333333333333, 'eval_runtime': 12.8397, 'eval_samples_per_second': 233.65, 'eval_steps_per_second': 7.321, 'epoch': 1.0}
{'loss': 0.5069, 'grad_norm': 7.428648471832275, 'learning_rate': 3.19e-05, 'epoch': 1.02}
