vi_text,label_names,confidence,labels,pseudo_labeled,source
"sự cạnh tranh dựa trên một số yếu tố, như giá cả, chất lượng sản phẩm và dịch vụ.",Irrelevant,0.9987102746963501,0,True,pseudo_labeling
những thay đổi rõ rệt do lượng mưa không đều đang xuất hiện.,Evironment,0.9998500347137451,1,True,pseudo_labeling
"loại hiệu suất csr được mong đợi của các công ty nhật bản là một nỗ lực đa chiều liên quan đến môi trường, nhân quyền, lao động và trách nhiệm về sản phẩm.",Social,0.9995809197425842,2,True,pseudo_labeling
"công ty chúng tôi khen ngợi những tiến bộ đạt được trong năm ngoái về các sáng kiến liên quan đến esg, đặc biệt là những nỗ lực của đội ngũ quản lý trong việc xây dựng một chương trình đạo đức và tuân thủ tốt nhất trong số các giáo dục sản xuất thiết lập một giọng điệu chính trực tối đa ở tầng lớp cao nhất của công ty.",Governance,0.9941357374191284,3,True,pseudo_labeling
sơn cho biết những chính sách này được xem là nền tảng ban đầu để thiết lập hệ thống khuôn khổ esg trong hoạt động của các ngân hàng và tổ chức tín dụng theo các quy định quốc tế.,Irrelevant,0.999229907989502,0,True,pseudo_labeling
"con số dành riêng hàng hóa vốn (ví máy móc, tòa nhà), cơ sở hạ tầng (ví đường, hệ thống đường chuyền điện), nhân viên đi lại, thiết bị sạc bên ngoài và cơ sở hạ tầng, bảo trì và dịch vụ trong quá trình sử dụng, đóng gói, vận chuyển đến nhà tái chế, xử lý chất thải sản xuất, vận chuyển từ phân phối tier đến khách hàng.",Evironment,0.9988765120506287,1,True,pseudo_labeling
"► omv petrom cam kết thực hiện chiến lược đa dạng nhóm của mình, tập trung vào giới tính và tính quốc tế.",Social,0.9975618124008179,2,True,pseudo_labeling
"từ cáo trạng miễn phí khỏi sai sót về tài liệu, dù là do gian lận hay lỗi, và do sau đó đưa ra một báo cáo kiểm toán viên bao gồm ý kiến của chúng tôi.",Governance,0.9998874664306641,3,True,pseudo_labeling
các khoản cho vay được bảo đảm bằng bất động sản thương mại và nhiều hộ gia đình thường lớn hơn và có mức độ rủi ro cao hơn các khoản vay thế chấp nhà ở dành cho một đến bốn gia đình.,Irrelevant,0.993863582611084,0,True,pseudo_labeling
"vào tháng 7, một uỷ ban công nghệ và tính bền vững thường trực đã được thành lập, tập trung vào quản lý công nghệ và môi trường.",Evironment,0.9988908171653748,1,True,pseudo_labeling
"◇xem xét lại những định mức theo thay đổi của môi trường xã hội và chính sách công ty, yêu cầu nhà cung cấp thực hiện, làm theo và tuân thủ những chỉ tiêu này.",Social,0.9670345783233643,2,True,pseudo_labeling
"sự thành viên danh sách các hội viên hỗ trợ phát triển bền vững của chúng tôi liên quan đến các hiệp hội và tổ chức quốc gia hoặc quốc tế, trong đó chúng tôi nắm giữ một vị trí trong cơ quan quản trị, tham gia vào các dự án hoặc ủy ban, tài trợ, hoặc coi là chiến lược cho chiến lược bền vững của chúng tôi.",Governance,0.9998412132263184,3,True,pseudo_labeling
"khi tính hiệu quả môi trường của bất cứ sự trao đổi nào của các đơn vị b trong công ty cùng với số lượng tương đương của cổ phiếu b của công ty đổi thành cổ phiếu a, thu nhập ròng cho các cổ đông của cổ phiếu được điều chỉnh, bao gồm cả các chi phí thuế thu nhập bổ sung, do loại bỏ lãi suất không thuộc sở hữu liên quan đến các đơn vị b của công ty.",Irrelevant,0.9289739727973938,0,True,pseudo_labeling
"công ty sẽ mở rộng các sản phẩm của mình sang các loại sản phẩm phi thực phẩm khác, tập trung vào các sản phẩm được làm từ các nguồn tài nguyên có thể tái tạo, có chứa nội dung tái chế hoặc sản xuất mà không sử dụng một số hoá chất gây quan ngại.",Evironment,0.9994760155677795,1,True,pseudo_labeling
"để bảo vệ những người trong nhà làm việc, hirtum chấp nhận các biện pháp toàn hiệu quả để giảm thiểu rủi ro của việc kiểm tra y tế cho tất cả các nhà máy; rửa tay công cộng và sử dụng các khẩu trang; đánh giá hệ thống sưởi, thông gió và điều hoà không khí; làm lopase vệ sinh cho tất cả các nhà máy và văn phòng; thực hiện các quy trình quản lý nhanh chóng những người có triệu chứng và xác định những người qua lại gần gũi, v.v.",Social,0.9991662502288818,2,True,pseudo_labeling
"các vấn đề được xác định là quan trọng đối với các hỗ trợ bên trong và bên ngoài dựa trên sự đánh giá vật chất thực hiện được trong đầu tư bền vững ‹ các yếu tố môi trường góp phần vào sự hoạt động xuất sắc ‹ vệ sinh và toàn ‹ đa dạng, công bằng, và bao gồm ‹ duy trì quản lý doanh nghiệp mạnh mẽ và tiêu chuẩn đạo đức.",Governance,0.9998037219047546,3,True,pseudo_labeling
"nhu cầu đầu tư trong kim loại vàng và bạc có thể bị ảnh hưởng bởi một số yếu tố, bao giá trị của đô la mỹ và tiền tệ khác, tỷ lệ thâm hụt ngân sách của hoa kỳ đang thay đổi, sự phong phú hơn của các quỹ giao dịch hoán đổi, mức lãi suất, sức khoẻ của thị trường tín dụng, và sự kì vọng lạm phát.",Irrelevant,0.9992014765739441,0,True,pseudo_labeling
"công ty chúng tôi chưa thực hiện bất cứ đánh giá nghiêm túc nào trong lĩnh vực này, tuy nhiên chúng tôi tin rằng, bởi vì bản chất hoạt động kinh doanh của mình, ô nhiễm đất không phải là một vấn đề đáng nhắc đến.",Evironment,0.999591052532196,1,True,pseudo_labeling
"với nhiều đối tác starbucks, ngày trái đất là cơ hội quan trọng để làm việc tình nguyện trong cộng đồng của chúng ta.",Social,0.9958863854408264,2,True,pseudo_labeling
"công ty đánh giá chất lượng báo cáo esg trong các ngành hỗ trợ quan trọng như kim loại, khai thác mỏ, với thang điểm từ 1 đến 10, trong đó 1 là ‘đảm bảo công bố thông tin minh bạch hơn và tối thiểu rủi",Governance,0.9987647533416748,3,True,pseudo_labeling
"những vấn đề này bao gồm, trong đó có những yếu tố khác, các số liệu lịch sử, sự ra mắt của các luật mới, thay đổi trong thái độ xã hội và điều kiện kinh tế, bao gồm ảnh hưởng của lạm phát.",Irrelevant,0.9994043111801147,0,True,pseudo_labeling
tiêu chuẩn này đảm bảo rằng các trung tâm của chúng tôi có mức hiệu suất công trình xanh cao hơn so với các thông lệ thông thường.,Evironment,0.9862468242645264,1,True,pseudo_labeling
"một văn phòng dành riêng cho phúc lợi động vật văn phòng hỗ trợ động vật của công ty chúng tôi (oaw), được lãnh đạo bởi giám đốc cấp cao tiến sĩ karen christensen, được dành riêng hoàn toàn cho phúc lợi động vật.",Social,0.9997053742408752,2,True,pseudo_labeling
"văn hóa và giá trị là một nhóm, chúng tôi có một bộ giá trị rõ ràng và cam kết đầu tư cũng như gắn kết với nhân viên của mình và các bên liên quan khác để đảm bảo rằng các hoạt động kinh doanh của chúng tôi duy trì được quản lý có đạo đức và bền vững.",Governance,0.9991299510002136,3,True,pseudo_labeling
"bất kỳ hạn chế nào về phê duyệt hoặc tiếp thị này có thể hạn chế việc quảng bá, phân phối, kê đơn hoặc phân phối sản phẩm.",Irrelevant,0.9991806149482727,0,True,pseudo_labeling
chúng tôi hiểu những thách thức mà khách hàng và cộng đồng phải đối mặt khi họ điều hướng quá trình chuyển đổi năng lượng toàn cầu và chúng tôi nhắm đến mục tiêu đáp ứng sự thay đổi nhu cầu đồng thời giảm lượng khí thải.,Evironment,0.9983803033828735,1,True,pseudo_labeling
"vì vấn đề này, tập đoàn đã nỗ lực không ngừng để hoàn thiện nơi làm việc ngày càng toàn, công bằng và không phân biệt đối xử, để cho đúng với các cơ quan pháp luật mà liên hiệp quốc và các công ước của tổ chức lao động quốc tế (lao) đã tuyên bố tuyên ngôn nhân quyền.",Social,0.9982927441596985,2,True,pseudo_labeling
"công ty chúng tôi xây dựng khuôn khổ hoạt động trên nền tảng các mục tiêu về môi trường, xã hội và quản trị (esg) cũng như chương trình trách nhiệm doanh nghiệp, như cách chúng tôi tiến hành kinh doanh.",Governance,0.9997935891151428,3,True,pseudo_labeling
"do các điều kiện đặc biệt xung quanh việc thanh toán các yêu cầu khống chế, không thể sử dụng các mô hình kiểm định truyền thống cho các loại dự trữ này.",Irrelevant,0.9996371269226074,0,True,pseudo_labeling
"công ty năng lượng tái tạo ge renewable energy và công ty vật liệu xây dựng lafargeholcim hôm nay đã công bố một sáng kiến nhằm cải thiện tính tuần hoàn của ngành năng lượng gió thông qua việc sử dụng các vật liệu từ các tuabin gió đã ngừng hoạt động.jérôme pécresse, giám đốc điều hành của ge renewable energy cho “đây là bước tiếp theo thực sự thú vị trong hành trình của chúng tôi để giới thiệu những cải tiến về vòng đời tuần hoàn mới cho ngành gió.",Evironment,0.9990904331207275,1,True,pseudo_labeling
"trong khoá huấn luyện toàn tài chính, công ty hỗ trợ một chương trình đo lường hiệu quả môi trường làm việc chú trọng vào việc xác định và đo lường hiệu quả của việc làm với các thiết bị hiện thực.",Social,0.9949343800544739,2,True,pseudo_labeling
"với vấn đề trách nhiệm trong doanh nghiệp của chúng ta như hỗ trợ quan tâm,",Governance,0.9909698367118835,3,True,pseudo_labeling
"với vấn đề về lãi trong khoảng thời gian từ 1-7 ngày của ngày bán lưu, số cổ phiếu của dòng nào là xong nhiệm kì của dòng c có giá trị sau khi thanh toán hết và bù trừ được ghi rõ và lưu lại để có thể làm căn cứ cho việc thanh toán một cách nhanh chóng sau đó.",Irrelevant,0.9990492463111877,0,True,pseudo_labeling
"tổ chức tiêu chuẩn hóa quốc tế iso (iso), quy định các thông lệ tốt nhất quốc tế trong quản lý, báo cáo và xác minh dữ liệu và thông tin về khí nhà kính (ghg).",Evironment,0.9657164216041565,1,True,pseudo_labeling
"công vấn và những ý kiến chủ kiến của công nhân như hỗ trợ quan sát, giúp đỡ, và chỉ ra những chỗ nào cần cải thiện làm cơ sở để có những kế hoạch cải tiến trong tương lai.",Social,0.9901530146598816,2,True,pseudo_labeling
công nhận của kiểm toán viên trưởng độc lập theo yêu cầu tại mục quan sát về trang 137 và là một phần trong bản báo cáo của ban giám đốc cho năm tài chính kết thúc vào ngày 30 tháng 6 năm 2021.,Governance,0.9999098777770996,3,True,pseudo_labeling
"các vấn đề về sức khỏe cộng đồng, bao gồm đại dịch covid, có thể ảnh hưởng xấu đến hoạt động kinh doanh, tình hình tài chính và kết quả hoạt động của chúng tôi. chúng tôi có thể gặp rủi ro liên quan đến các cuộc khủng hoảng sức khỏe cộng đồng, chẳng hạn như đại dịch covid-19, có ảnh hưởng xấu đến kết quả hoạt động của chúng tôi trong năm 2020.",Irrelevant,0.9977973699569702,0,True,pseudo_labeling
công ty có thể phải chịu các chi phí và những rủi ro khác liên quan đến khí thải.,Evironment,0.9999308586120605,1,True,pseudo_labeling
"chúng tôi cũng sẽ yêu cầu mỗi nhà máy chiến lược nộp báo cáo kiểm toán tuân thủ xã hội bên thứ ba hàng năm để xác nhận công việc được thực hiện với sự hợp tác của nhóm châu á của chúng tôi, đồng thời giám sát sức khoẻ, toàn lao động và tuân thủ môi trường.",Social,0.9961890578269958,2,True,pseudo_labeling
"công vấn và phân tích các báo cáo đó cùng những như hỗ trợ quan trọng về đo lường hiệu suất và giá trị doanh nghiệp của chúng tôi.nhờ có các dữ liệu và sự tham gia từ các đối tác của chúng tôi, sự phân tích các phương tiện truyền thông, cách giao lưu cộng đồng, các phân tích về điểm số và các hướng dẫn báo cáo, chúng tôi đã xác định được các chủ đề liên quan đến các đối tác của mình.",Governance,0.9524911046028137,3,True,pseudo_labeling
quỹ đơn phương của công ty cổ phần quản lý quỹ đầu tư đã hoạt động hiệu quả hơn so với thị trường trong nửa đầu năm nay.,Irrelevant,0.9996520280838013,0,True,pseudo_labeling
"theo đó, star bulk đã tham gia một dự án phát triển chung và hội thảo hazid (xác định hazard) với các đối tác khác nhau bao gồm engine builder, shipbuilder, hằng society, shipping company, vendor, hợp tác nghiên cứu ammonia như một nhiên liệu thay thế cho ngành công nghiệp hàng hải.",Evironment,0.9908168315887451,1,True,pseudo_labeling
xây dựng lực lượng lao động bền vững wood cam kết hỗ trợ các tài năng địa phương ở các khu vực mà chúng tôi hoạt động.,Social,0.9996169805526733,2,True,pseudo_labeling
"báo cáo của ủy ban khen thưởng nơi trang 41, và của uỷ ban bần lưu tại trang 35 cung cấp chi tiết công việc chủ yếu của những uỷ ban này trong suốt cả năm hiện nay.",Governance,0.9994624257087708,3,True,pseudo_labeling
"các báo cáo tài chính này đã được chuẩn bị theo như các chấp thuận của liên minh châu âu (ifrs đã được chấp nhận), và được thực hiện như trên cho tất cả các báo cáo tài chính.",Irrelevant,0.9989402890205383,0,True,pseudo_labeling
"tại châu âu, chúng tôi đã tiến hành thử nghiệm tiết kiệm năng lượng lên tới 19%.",Evironment,0.9981676340103149,1,True,pseudo_labeling
"công tác quản lý hệ thống toàn lao động, bảo vệ sức khoẻ, tăng cường sức khoẻ bắt đầu được thiết lập vào năm 2010 (tr. 33).",Social,0.999900221824646,2,True,pseudo_labeling
một bản sao của chính sách quản lý rủi ro có sẵn trong phần quản trị công ty trên trang web của công ty.,Governance,0.9999226331710815,3,True,pseudo_labeling
"mặc dù có sự tăng trưởng, hàng xuất khẩu nhựa vẫn gặp nhiều khó khăn.",Irrelevant,0.9960797429084778,0,True,pseudo_labeling
công ty chúng tôi sẽ tiếp tục chuyển giao kinh nghiệm và kiến thức từ lamphun tới trụ sở chính ở bangkok để thúc đẩy tiến trình cải tiến mức tiêu thụ nước về tổng thể.,Evironment,0.912444531917572,1,True,pseudo_labeling
kế hoạch hành động để cải thiện và vệ sinh các điều kiện làm việc được phát triển ở tất cả các doan nghiệp và được uỷ thác bởi người đứng đầu về điều hành.,Social,0.9997493624687195,2,True,pseudo_labeling
