                                                                                                                                                                
{'loss': 1.3807, 'grad_norm': 1.1105049848556519, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.3835, 'grad_norm': 1.2189325094223022, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3827, 'grad_norm': 1.0660573244094849, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3765, 'grad_norm': 1.2460557222366333, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.3753, 'grad_norm': 0.9425814151763916, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.3692, 'grad_norm': 1.691107153892517, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.357, 'grad_norm': 1.4486786127090454, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 1.3564, 'grad_norm': 1.2393096685409546, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 1.3297, 'grad_norm': 1.328364372253418, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 1.3105, 'grad_norm': 1.7185649871826172, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 1.2864, 'grad_norm': 1.7572205066680908, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 1.2201, 'grad_norm': 1.9485217332839966, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 1.149, 'grad_norm': 2.170666456222534, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 1.1098, 'grad_norm': 2.189420223236084, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 1.0184, 'grad_norm': 5.0247273445129395, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 0.9397, 'grad_norm': 3.973768711090088, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 0.846, 'grad_norm': 3.683242082595825, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 0.8212, 'grad_norm': 5.1110429763793945, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 0.7716, 'grad_norm': 4.102475166320801, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
{'loss': 0.7029, 'grad_norm': 6.1609601974487305, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.15}
{'loss': 0.6507, 'grad_norm': 4.154569149017334, 'learning_rate': 2.09e-05, 'epoch': 0.16}
{'loss': 0.5972, 'grad_norm': 4.287464618682861, 'learning_rate': 2.19e-05, 'epoch': 0.17}
{'loss': 0.6484, 'grad_norm': 5.302474498748779, 'learning_rate': 2.29e-05, 'epoch': 0.18}
{'loss': 0.5647, 'grad_norm': 7.098868370056152, 'learning_rate': 2.39e-05, 'epoch': 0.18}
{'loss': 0.5423, 'grad_norm': 3.2784225940704346, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.19}
{'loss': 0.4751, 'grad_norm': 5.213222980499268, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.2}
{'loss': 0.5241, 'grad_norm': 7.224501132965088, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.21}
{'loss': 0.4105, 'grad_norm': 2.7533910274505615, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.21}
{'loss': 0.4974, 'grad_norm': 8.324296951293945, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.22}
{'loss': 0.3889, 'grad_norm': 5.003047943115234, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.23}
{'loss': 0.4159, 'grad_norm': 3.892989158630371, 'learning_rate': 3.09e-05, 'epoch': 0.24}
{'loss': 0.4435, 'grad_norm': 4.507754325866699, 'learning_rate': 3.19e-05, 'epoch': 0.24}
{'loss': 0.4237, 'grad_norm': 10.677807807922363, 'learning_rate': 3.29e-05, 'epoch': 0.25}
{'loss': 0.3674, 'grad_norm': 6.32570219039917, 'learning_rate': 3.3900000000000004e-05, 'epoch': 0.26}
