                                                                                                                                                                
{'loss': 1.3831, 'grad_norm': 2.3469021320343018, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.3975, 'grad_norm': 3.606607437133789, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3748, 'grad_norm': 24.659542083740234, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3773, 'grad_norm': 3.7210659980773926, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.3621, 'grad_norm': 3.097381591796875, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.3296, 'grad_norm': 5.008683204650879, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.257, 'grad_norm': 4.97412633895874, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 1.1388, 'grad_norm': 5.067335605621338, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 1.0014, 'grad_norm': 7.012217044830322, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 0.8743, 'grad_norm': 8.047880172729492, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 0.7841, 'grad_norm': 8.991631507873535, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 0.6466, 'grad_norm': 20.60932731628418, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 0.5625, 'grad_norm': 19.700294494628906, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 0.5582, 'grad_norm': 11.6758394241333, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 0.4518, 'grad_norm': 15.442787170410156, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 0.5527, 'grad_norm': 21.020793914794922, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 0.4704, 'grad_norm': 15.573724746704102, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 0.4995, 'grad_norm': 10.364694595336914, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 0.5173, 'grad_norm': 17.197492599487305, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
{'loss': 0.527, 'grad_norm': 19.731670379638672, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.15}
{'loss': 0.4326, 'grad_norm': 11.62027645111084, 'learning_rate': 2.09e-05, 'epoch': 0.16}
{'loss': 0.4581, 'grad_norm': 18.59209632873535, 'learning_rate': 2.19e-05, 'epoch': 0.17}
{'loss': 0.5384, 'grad_norm': 14.787736892700195, 'learning_rate': 2.29e-05, 'epoch': 0.18}
{'loss': 0.4307, 'grad_norm': 16.037784576416016, 'learning_rate': 2.39e-05, 'epoch': 0.18}
{'loss': 0.4289, 'grad_norm': 9.667186737060547, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.19}
{'loss': 0.4359, 'grad_norm': 8.470703125, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.2}
{'loss': 0.4867, 'grad_norm': 8.76290512084961, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.21}
{'loss': 0.3649, 'grad_norm': 7.587122917175293, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.21}
{'loss': 0.387, 'grad_norm': 22.30950355529785, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.22}
{'loss': 0.3794, 'grad_norm': 10.558086395263672, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.23}
{'loss': 0.411, 'grad_norm': 5.3749775886535645, 'learning_rate': 3.09e-05, 'epoch': 0.24}
{'loss': 0.362, 'grad_norm': 7.634137153625488, 'learning_rate': 3.19e-05, 'epoch': 0.24}
{'loss': 0.3858, 'grad_norm': 12.650005340576172, 'learning_rate': 3.29e-05, 'epoch': 0.25}
{'loss': 0.3875, 'grad_norm': 8.692965507507324, 'learning_rate': 3.3900000000000004e-05, 'epoch': 0.26}
{'loss': 0.3445, 'grad_norm': 14.163311004638672, 'learning_rate': 3.49e-05, 'epoch': 0.27}
{'loss': 0.2965, 'grad_norm': 7.22121000289917, 'learning_rate': 3.59e-05, 'epoch': 0.27}
{'loss': 0.436, 'grad_norm': 11.165706634521484, 'learning_rate': 3.69e-05, 'epoch': 0.28}
{'loss': 0.3319, 'grad_norm': 11.347140312194824, 'learning_rate': 3.79e-05, 'epoch': 0.29}
{'loss': 0.4007, 'grad_norm': 9.538660049438477, 'learning_rate': 3.8900000000000004e-05, 'epoch': 0.3}
{'loss': 0.3765, 'grad_norm': 8.832843780517578, 'learning_rate': 3.99e-05, 'epoch': 0.3}
{'loss': 0.3653, 'grad_norm': 14.664287567138672, 'learning_rate': 4.09e-05, 'epoch': 0.31}
{'loss': 0.4859, 'grad_norm': 5.269163608551025, 'learning_rate': 4.19e-05, 'epoch': 0.32}
{'loss': 0.3883, 'grad_norm': 8.389398574829102, 'learning_rate': 4.29e-05, 'epoch': 0.33}
{'loss': 0.345, 'grad_norm': 8.07032299041748, 'learning_rate': 4.39e-05, 'epoch': 0.34}
{'loss': 0.327, 'grad_norm': 10.03492546081543, 'learning_rate': 4.49e-05, 'epoch': 0.34}
{'loss': 0.4012, 'grad_norm': 13.389092445373535, 'learning_rate': 4.5900000000000004e-05, 'epoch': 0.35}
{'loss': 0.3879, 'grad_norm': 21.039234161376953, 'learning_rate': 4.69e-05, 'epoch': 0.36}
{'loss': 0.3538, 'grad_norm': 9.390674591064453, 'learning_rate': 4.79e-05, 'epoch': 0.37}
{'loss': 0.3472, 'grad_norm': 8.043490409851074, 'learning_rate': 4.89e-05, 'epoch': 0.37}
{'loss': 0.3877, 'grad_norm': 13.099776268005371, 'learning_rate': 4.99e-05, 'epoch': 0.38}
{'loss': 0.4512, 'grad_norm': 6.983115196228027, 'learning_rate': 4.9976923076923076e-05, 'epoch': 0.39}
{'loss': 0.4793, 'grad_norm': 7.0979814529418945, 'learning_rate': 4.995128205128205e-05, 'epoch': 0.4}
{'loss': 0.4764, 'grad_norm': 12.316255569458008, 'learning_rate': 4.992564102564103e-05, 'epoch': 0.4}
{'loss': 0.4269, 'grad_norm': 6.585574150085449, 'learning_rate': 4.99e-05, 'epoch': 0.41}
{'loss': 0.3154, 'grad_norm': 8.395343780517578, 'learning_rate': 4.987435897435898e-05, 'epoch': 0.42}
{'loss': 0.4774, 'grad_norm': 9.052645683288574, 'learning_rate': 4.984871794871795e-05, 'epoch': 0.43}
{'loss': 0.3722, 'grad_norm': 7.229646682739258, 'learning_rate': 4.982307692307693e-05, 'epoch': 0.43}
{'loss': 0.3412, 'grad_norm': 6.4381279945373535, 'learning_rate': 4.97974358974359e-05, 'epoch': 0.44}
{'loss': 0.4658, 'grad_norm': 5.813177108764648, 'learning_rate': 4.977179487179487e-05, 'epoch': 0.45}
