vi_text,labels,label_names,confidence,vote_count,total_models,pseudo_labeled,source
các nhà quảng cáo cũng có thể truy cập dữ liệu dễ dàng hơn và khả năng tiếp cận khách hàng trực tiếp của mình bằng kỹ thuật số làm giảm chi tiêu cho các nhà quảng cáo bên ngoài.,0,Irrelevant,0.9974618256092072,4,4,True,ensemble_voting
"sự kiện kéo dài trong 2 ngày, trùng với lễ kỷ niệm 20 năm thành lập của vinacapital và có sự tham gia của nhiều diễn giả thuộc nhiều ngành và lĩnh vực khác nhau.",0,Irrelevant,0.9974615148135594,7,7,True,ensemble_voting
"ngoài ra, cms đã ban hành quy tắc cuối cùng sẽ hỗ trợ nhiều hơn về tính linh hoạt hiệu quả về lợi ích sức khoẻ theo yêu cầu của aca cho các chương trình được bán qua thị trường nói trên.",0,Irrelevant,0.9974599719047548,5,5,True,ensemble_voting
"những sản phẩm desi này không có bằng chứng đạt hiệu quả chấp nhận được hoặc đã được fda phê duyệt về hiệu quả hoặc độ toàn, và có thể bị thu hồi nếu một sản phẩm được phê duyệt được đưa ra.",0,Irrelevant,0.9974566357476372,7,7,True,ensemble_voting
sơn cho biết những chính sách này được xem là nền tảng ban đầu để thiết lập hệ thống khuôn khổ esg trong hoạt động của các ngân hàng và tổ chức tín dụng theo các quy định quốc tế.,0,Irrelevant,0.9974564909934998,5,5,True,ensemble_voting
"những vấn đêtìm cách chủ trương quyền sở hữu trí tậpmột số công nghệ, có ảnh hưởng đến vị trí của chúng ta trong cộng đồng nguồn mở, và có thể giới hạn khả năng đổi mới của chúng ta và ảnh hưởng đến công việc làm ăn bất lợi của chúng ta một cách không lường trước được.",0,Irrelevant,0.9974562078714372,4,4,True,ensemble_voting
"thoả thuận dịch vụ hiện hành 124 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và yunnan new oriental training school 125 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và anshan new oriental training school 126 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và zhuzhou new oriental training school 127 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và wuxi new oriental advanced study school 128 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và nanchang donghu district new oriental language school 129 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và jingzhou new oriental school 130 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và dalian new oriental training school 131 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và ningbo new oriental school 132 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và lanzhou chengguan district new oriental school 133 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và xiamen siming district new oriental education training school 134 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và changchun tongwen gaokao training school 135 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và beijing new oriental s'a dogwoodbattle. co., ltd. 136 thoả thuận mua bán phần mềm giữa beijing hewstone technology co., ltd. và beijing new oriental",0,Irrelevant,0.9974540982927594,7,7,True,ensemble_voting
"sự bất ổn xã hội và chính trị cùng những xung đột vũ trang tiềm tàng, có hiệu lực ở vùng trung đông có thể ảnh hưởng đến hoạt động và tình hình tài chính của công ty.",0,Irrelevant,0.9974514544010162,6,6,True,ensemble_voting
"công nghệ mới ứng dụng trong ngành quỹ là cần thiết để hỗ trợ hoàn toàn tiềm năng chưa được khai thác nhiều của ngành này, ông thành nhấn mạnh rằng việc chuyển đổi số là một xu hướng tất yếu.",0,Irrelevant,0.9974504808584848,6,6,True,ensemble_voting
"các công ty, vì quy định mở rộng các yêu cầu báo cáo cho các công ty không phải của châu âu kiếm được hơn 150 triệu euro trong eu. tương tự, thống đốc california gavin newsom gần đây đã ký một dự luật thành luật, điều này sẽ yêu cầu một cách hiệu quả các chính phủ lớn của hoa kỳ.",0,Irrelevant,0.9974484145641328,6,6,True,ensemble_voting
