                                                                                                                                                                
{'loss': 1.4434, 'grad_norm': 3.540067672729492, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.4116, 'grad_norm': 4.076578617095947, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3952, 'grad_norm': 3.820321559906006, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3515, 'grad_norm': 4.262631893157959, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.2858, 'grad_norm': 3.7124173641204834, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.1894, 'grad_norm': 5.383047580718994, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.0861, 'grad_norm': 5.374724388122559, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 0.9379, 'grad_norm': 3.731642484664917, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 0.7907, 'grad_norm': 4.293004512786865, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 0.6827, 'grad_norm': 6.436965465545654, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 0.653, 'grad_norm': 5.2344651222229, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 0.6062, 'grad_norm': 6.413110733032227, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 0.4743, 'grad_norm': 4.5761871337890625, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 0.5535, 'grad_norm': 7.6449408531188965, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 0.4405, 'grad_norm': 10.970141410827637, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 0.4606, 'grad_norm': 9.206490516662598, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 0.4521, 'grad_norm': 7.519174575805664, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 0.4919, 'grad_norm': 9.953290939331055, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 0.4522, 'grad_norm': 9.738646507263184, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
{'loss': 0.472, 'grad_norm': 8.040273666381836, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.15}
{'loss': 0.4426, 'grad_norm': 7.050732135772705, 'learning_rate': 2.09e-05, 'epoch': 0.16}
{'loss': 0.3825, 'grad_norm': 8.217470169067383, 'learning_rate': 2.19e-05, 'epoch': 0.17}
{'loss': 0.4953, 'grad_norm': 7.713459014892578, 'learning_rate': 2.29e-05, 'epoch': 0.18}
{'loss': 0.4511, 'grad_norm': 9.210644721984863, 'learning_rate': 2.39e-05, 'epoch': 0.18}
{'loss': 0.425, 'grad_norm': 7.145702838897705, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.19}
{'loss': 0.3451, 'grad_norm': 6.651368618011475, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.2}
{'loss': 0.3767, 'grad_norm': 6.181321144104004, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.21}
{'loss': 0.2679, 'grad_norm': 5.162219047546387, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.21}
{'loss': 0.3655, 'grad_norm': 7.529827117919922, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.22}
{'loss': 0.3469, 'grad_norm': 6.596490859985352, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.23}
{'loss': 0.384, 'grad_norm': 4.980050086975098, 'learning_rate': 3.09e-05, 'epoch': 0.24}
{'loss': 0.2907, 'grad_norm': 5.422919273376465, 'learning_rate': 3.19e-05, 'epoch': 0.24}
{'loss': 0.319, 'grad_norm': 10.545122146606445, 'learning_rate': 3.29e-05, 'epoch': 0.25}
{'loss': 0.3282, 'grad_norm': 4.961263656616211, 'learning_rate': 3.3900000000000004e-05, 'epoch': 0.26}
{'loss': 0.3618, 'grad_norm': 8.336033821105957, 'learning_rate': 3.49e-05, 'epoch': 0.27}
{'loss': 0.3228, 'grad_norm': 6.7560038566589355, 'learning_rate': 3.59e-05, 'epoch': 0.27}
{'loss': 0.3125, 'grad_norm': 4.1625189781188965, 'learning_rate': 3.69e-05, 'epoch': 0.28}
{'loss': 0.2649, 'grad_norm': 3.8874378204345703, 'learning_rate': 3.79e-05, 'epoch': 0.29}
{'loss': 0.3836, 'grad_norm': 3.6774098873138428, 'learning_rate': 3.8900000000000004e-05, 'epoch': 0.3}
{'loss': 0.3424, 'grad_norm': 5.164895057678223, 'learning_rate': 3.99e-05, 'epoch': 0.3}
{'loss': 0.3083, 'grad_norm': 6.467428207397461, 'learning_rate': 4.09e-05, 'epoch': 0.31}
{'loss': 0.3851, 'grad_norm': 7.410811424255371, 'learning_rate': 4.19e-05, 'epoch': 0.32}
{'loss': 0.3562, 'grad_norm': 4.053720951080322, 'learning_rate': 4.29e-05, 'epoch': 0.33}
{'loss': 0.3481, 'grad_norm': 5.643057823181152, 'learning_rate': 4.39e-05, 'epoch': 0.34}
{'loss': 0.4399, 'grad_norm': 6.512929916381836, 'learning_rate': 4.49e-05, 'epoch': 0.34}
{'loss': 0.2863, 'grad_norm': 6.059789180755615, 'learning_rate': 4.5900000000000004e-05, 'epoch': 0.35}
{'loss': 0.3688, 'grad_norm': 12.516615867614746, 'learning_rate': 4.69e-05, 'epoch': 0.36}
{'loss': 0.2676, 'grad_norm': 3.3793256282806396, 'learning_rate': 4.79e-05, 'epoch': 0.37}
{'loss': 0.376, 'grad_norm': 6.391888618469238, 'learning_rate': 4.89e-05, 'epoch': 0.37}
{'loss': 0.2999, 'grad_norm': 5.366490364074707, 'learning_rate': 4.99e-05, 'epoch': 0.38}
{'loss': 0.3747, 'grad_norm': 4.230737686157227, 'learning_rate': 4.9976923076923076e-05, 'epoch': 0.39}
{'loss': 0.3365, 'grad_norm': 3.2670207023620605, 'learning_rate': 4.995128205128205e-05, 'epoch': 0.4}
{'loss': 0.3704, 'grad_norm': 13.74780559539795, 'learning_rate': 4.992564102564103e-05, 'epoch': 0.4}
{'loss': 0.4416, 'grad_norm': 9.333697319030762, 'learning_rate': 4.99e-05, 'epoch': 0.41}
{'loss': 0.2884, 'grad_norm': 8.409255027770996, 'learning_rate': 4.987435897435898e-05, 'epoch': 0.42}
{'loss': 0.3431, 'grad_norm': 5.541954040527344, 'learning_rate': 4.984871794871795e-05, 'epoch': 0.43}
{'loss': 0.3712, 'grad_norm': 4.975506782531738, 'learning_rate': 4.982307692307693e-05, 'epoch': 0.43}
{'loss': 0.3191, 'grad_norm': 6.457620143890381, 'learning_rate': 4.97974358974359e-05, 'epoch': 0.44}
{'loss': 0.396, 'grad_norm': 7.799753665924072, 'learning_rate': 4.977179487179487e-05, 'epoch': 0.45}
{'loss': 0.2833, 'grad_norm': 6.410331726074219, 'learning_rate': 4.974615384615385e-05, 'epoch': 0.46}
{'loss': 0.4146, 'grad_norm': 7.371874809265137, 'learning_rate': 4.972051282051282e-05, 'epoch': 0.46}
{'loss': 0.2958, 'grad_norm': 3.4055142402648926, 'learning_rate': 4.9694871794871796e-05, 'epoch': 0.47}
{'loss': 0.2247, 'grad_norm': 7.7775373458862305, 'learning_rate': 4.966923076923077e-05, 'epoch': 0.48}
{'loss': 0.2858, 'grad_norm': 4.373338222503662, 'learning_rate': 4.964358974358975e-05, 'epoch': 0.49}
{'loss': 0.3156, 'grad_norm': 4.533025741577148, 'learning_rate': 4.961794871794872e-05, 'epoch': 0.5}
{'loss': 0.2725, 'grad_norm': 3.502135992050171, 'learning_rate': 4.959230769230769e-05, 'epoch': 0.5}
{'loss': 0.2435, 'grad_norm': 8.313753128051758, 'learning_rate': 4.956666666666667e-05, 'epoch': 0.51}
{'loss': 0.2665, 'grad_norm': 3.9713289737701416, 'learning_rate': 4.9541025641025645e-05, 'epoch': 0.52}
{'loss': 0.324, 'grad_norm': 9.131179809570312, 'learning_rate': 4.951538461538462e-05, 'epoch': 0.53}
{'loss': 0.3496, 'grad_norm': 3.7997894287109375, 'learning_rate': 4.948974358974359e-05, 'epoch': 0.53}
{'loss': 0.287, 'grad_norm': 6.774396896362305, 'learning_rate': 4.946410256410257e-05, 'epoch': 0.54}
{'loss': 0.341, 'grad_norm': 5.094005584716797, 'learning_rate': 4.943846153846154e-05, 'epoch': 0.55}
{'loss': 0.2906, 'grad_norm': 4.673130035400391, 'learning_rate': 4.9412820512820516e-05, 'epoch': 0.56}
{'loss': 0.3691, 'grad_norm': 5.507570266723633, 'learning_rate': 4.938717948717949e-05, 'epoch': 0.56}
{'loss': 0.3135, 'grad_norm': 2.7257676124572754, 'learning_rate': 4.9361538461538464e-05, 'epoch': 0.57}
{'loss': 0.3397, 'grad_norm': 3.5605289936065674, 'learning_rate': 4.933589743589744e-05, 'epoch': 0.58}
{'loss': 0.3426, 'grad_norm': 4.546504974365234, 'learning_rate': 4.931025641025641e-05, 'epoch': 0.59}
{'loss': 0.3387, 'grad_norm': 6.960144519805908, 'learning_rate': 4.928461538461539e-05, 'epoch': 0.59}
{'loss': 0.2321, 'grad_norm': 4.685317516326904, 'learning_rate': 4.9258974358974365e-05, 'epoch': 0.6}
{'loss': 0.2882, 'grad_norm': 5.289745807647705, 'learning_rate': 4.9233333333333335e-05, 'epoch': 0.61}
{'loss': 0.31, 'grad_norm': 9.087175369262695, 'learning_rate': 4.920769230769231e-05, 'epoch': 0.62}
{'loss': 0.255, 'grad_norm': 3.858839750289917, 'learning_rate': 4.918205128205128e-05, 'epoch': 0.62}
{'loss': 0.286, 'grad_norm': 10.70577621459961, 'learning_rate': 4.915641025641026e-05, 'epoch': 0.63}
{'loss': 0.299, 'grad_norm': 5.598819732666016, 'learning_rate': 4.9130769230769237e-05, 'epoch': 0.64}
{'loss': 0.3499, 'grad_norm': 3.457035779953003, 'learning_rate': 4.910512820512821e-05, 'epoch': 0.65}
{'loss': 0.2647, 'grad_norm': 4.75997257232666, 'learning_rate': 4.9079487179487184e-05, 'epoch': 0.65}
{'loss': 0.2238, 'grad_norm': 8.389363288879395, 'learning_rate': 4.9053846153846154e-05, 'epoch': 0.66}
{'loss': 0.3063, 'grad_norm': 7.560117244720459, 'learning_rate': 4.902820512820513e-05, 'epoch': 0.67}
{'loss': 0.258, 'grad_norm': 6.126204967498779, 'learning_rate': 4.90025641025641e-05, 'epoch': 0.68}
