                                                                                                                                                                
{'loss': 1.4106, 'grad_norm': 4.408264636993408, 'learning_rate': 9e-07, 'epoch': 0.0}
{'loss': 1.3739, 'grad_norm': 2.505420207977295, 'learning_rate': 1.9e-06, 'epoch': 0.01}
{'loss': 1.3937, 'grad_norm': 32.598087310791016, 'learning_rate': 2.9e-06, 'epoch': 0.01}
{'loss': 1.3975, 'grad_norm': 4.058274269104004, 'learning_rate': 3.9e-06, 'epoch': 0.02}
{'loss': 1.4229, 'grad_norm': 3.715594530105591, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.02}
{'loss': 1.3916, 'grad_norm': 3.3022069931030273, 'learning_rate': 5.9e-06, 'epoch': 0.02}
{'loss': 1.412, 'grad_norm': 3.8401663303375244, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.03}
{'loss': 1.3637, 'grad_norm': 4.513155937194824, 'learning_rate': 7.9e-06, 'epoch': 0.03}
{'loss': 1.4006, 'grad_norm': 2.7137746810913086, 'learning_rate': 8.9e-06, 'epoch': 0.03}
{'loss': 1.3853, 'grad_norm': 2.434288740158081, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.04}
{'loss': 1.3863, 'grad_norm': 4.600019931793213, 'learning_rate': 1.09e-05, 'epoch': 0.04}
{'loss': 1.3748, 'grad_norm': 4.161444664001465, 'learning_rate': 1.19e-05, 'epoch': 0.05}
{'loss': 1.3773, 'grad_norm': 4.1309709548950195, 'learning_rate': 1.29e-05, 'epoch': 0.05}
{'loss': 1.3711, 'grad_norm': 3.0942208766937256, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.05}
{'loss': 1.3998, 'grad_norm': 12.4650239944458, 'learning_rate': 1.49e-05, 'epoch': 0.06}
{'loss': 1.3933, 'grad_norm': 4.0289764404296875, 'learning_rate': 1.59e-05, 'epoch': 0.06}
{'loss': 1.384, 'grad_norm': 6.55202054977417, 'learning_rate': 1.69e-05, 'epoch': 0.06}
{'loss': 1.3805, 'grad_norm': 2.9825022220611572, 'learning_rate': 1.79e-05, 'epoch': 0.07}
{'loss': 1.377, 'grad_norm': 3.3334152698516846, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.07}
{'loss': 1.3822, 'grad_norm': 4.284135818481445, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.08}
{'loss': 1.3475, 'grad_norm': 3.0142083168029785, 'learning_rate': 2.09e-05, 'epoch': 0.08}
{'loss': 1.3985, 'grad_norm': 4.267117500305176, 'learning_rate': 2.19e-05, 'epoch': 0.08}
{'loss': 1.3468, 'grad_norm': 15.713740348815918, 'learning_rate': 2.29e-05, 'epoch': 0.09}
{'loss': 1.4015, 'grad_norm': 6.333735942840576, 'learning_rate': 2.39e-05, 'epoch': 0.09}
{'loss': 1.3631, 'grad_norm': 5.438117027282715, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.1}
{'loss': 1.3657, 'grad_norm': 9.753483772277832, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.1}
{'loss': 1.3696, 'grad_norm': 3.300915479660034, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.1}
{'loss': 1.3704, 'grad_norm': 3.4443259239196777, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.11}
{'loss': 1.3269, 'grad_norm': 3.6936235427856445, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.11}
{'loss': 1.2939, 'grad_norm': 5.638579368591309, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.11}
{'loss': 1.3212, 'grad_norm': 4.735748291015625, 'learning_rate': 3.09e-05, 'epoch': 0.12}
{'loss': 1.3246, 'grad_norm': 6.289522171020508, 'learning_rate': 3.19e-05, 'epoch': 0.12}
{'loss': 1.3188, 'grad_norm': 4.314945697784424, 'learning_rate': 3.29e-05, 'epoch': 0.13}
{'loss': 1.2963, 'grad_norm': 7.608890056610107, 'learning_rate': 3.3900000000000004e-05, 'epoch': 0.13}
{'loss': 1.2997, 'grad_norm': 6.515185356140137, 'learning_rate': 3.49e-05, 'epoch': 0.13}
{'loss': 1.3718, 'grad_norm': 5.146113872528076, 'learning_rate': 3.59e-05, 'epoch': 0.14}
{'loss': 1.3229, 'grad_norm': 5.470143795013428, 'learning_rate': 3.69e-05, 'epoch': 0.14}
{'loss': 1.2527, 'grad_norm': 5.4053568840026855, 'learning_rate': 3.79e-05, 'epoch': 0.14}
