                                                                                                                                                                
{'loss': 1.3955, 'grad_norm': 1.4838683605194092, 'learning_rate': 9e-07, 'epoch': 0.01}
{'loss': 1.391, 'grad_norm': 1.476122260093689, 'learning_rate': 1.9e-06, 'epoch': 0.02}
{'loss': 1.3823, 'grad_norm': 1.1580262184143066, 'learning_rate': 2.9e-06, 'epoch': 0.02}
{'loss': 1.3803, 'grad_norm': 1.5859997272491455, 'learning_rate': 3.9e-06, 'epoch': 0.03}
{'loss': 1.3703, 'grad_norm': 1.3021634817123413, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.04}
{'loss': 1.3723, 'grad_norm': 1.9938195943832397, 'learning_rate': 5.9e-06, 'epoch': 0.05}
{'loss': 1.3582, 'grad_norm': 1.58562171459198, 'learning_rate': 6.900000000000001e-06, 'epoch': 0.05}
{'loss': 1.3454, 'grad_norm': 1.5995454788208008, 'learning_rate': 7.9e-06, 'epoch': 0.06}
{'loss': 1.2722, 'grad_norm': 2.467048168182373, 'learning_rate': 8.9e-06, 'epoch': 0.07}
{'loss': 1.1847, 'grad_norm': 6.390890598297119, 'learning_rate': 9.900000000000002e-06, 'epoch': 0.08}
{'loss': 1.0908, 'grad_norm': 4.995272159576416, 'learning_rate': 1.09e-05, 'epoch': 0.08}
{'loss': 1.0419, 'grad_norm': 7.183588981628418, 'learning_rate': 1.19e-05, 'epoch': 0.09}
{'loss': 0.9511, 'grad_norm': 8.120699882507324, 'learning_rate': 1.29e-05, 'epoch': 0.1}
{'loss': 0.9043, 'grad_norm': 5.197076797485352, 'learning_rate': 1.3900000000000002e-05, 'epoch': 0.11}
{'loss': 0.7334, 'grad_norm': 4.601545810699463, 'learning_rate': 1.49e-05, 'epoch': 0.11}
{'loss': 0.7872, 'grad_norm': 11.034716606140137, 'learning_rate': 1.59e-05, 'epoch': 0.12}
{'loss': 0.6715, 'grad_norm': 9.176448822021484, 'learning_rate': 1.69e-05, 'epoch': 0.13}
{'loss': 0.6783, 'grad_norm': 19.12107276916504, 'learning_rate': 1.79e-05, 'epoch': 0.14}
{'loss': 0.7276, 'grad_norm': 8.308636665344238, 'learning_rate': 1.8900000000000002e-05, 'epoch': 0.14}
{'loss': 0.664, 'grad_norm': 9.239300727844238, 'learning_rate': 1.9900000000000003e-05, 'epoch': 0.15}
{'loss': 0.5409, 'grad_norm': 9.598252296447754, 'learning_rate': 2.09e-05, 'epoch': 0.16}
{'loss': 0.5451, 'grad_norm': 8.53426456451416, 'learning_rate': 2.19e-05, 'epoch': 0.17}
{'loss': 0.5833, 'grad_norm': 7.141724586486816, 'learning_rate': 2.29e-05, 'epoch': 0.18}
{'loss': 0.5276, 'grad_norm': 15.293153762817383, 'learning_rate': 2.39e-05, 'epoch': 0.18}
{'loss': 0.5532, 'grad_norm': 5.560457229614258, 'learning_rate': 2.4900000000000002e-05, 'epoch': 0.19}
{'loss': 0.4868, 'grad_norm': 8.37372875213623, 'learning_rate': 2.5900000000000003e-05, 'epoch': 0.2}
{'loss': 0.5288, 'grad_norm': 9.108951568603516, 'learning_rate': 2.6900000000000003e-05, 'epoch': 0.21}
{'loss': 0.4287, 'grad_norm': 6.893199920654297, 'learning_rate': 2.7900000000000004e-05, 'epoch': 0.21}
{'loss': 0.4851, 'grad_norm': 14.093042373657227, 'learning_rate': 2.8899999999999998e-05, 'epoch': 0.22}
{'loss': 0.4376, 'grad_norm': 9.420947074890137, 'learning_rate': 2.9900000000000002e-05, 'epoch': 0.23}
{'loss': 0.4619, 'grad_norm': 7.574419975280762, 'learning_rate': 3.09e-05, 'epoch': 0.24}
{'loss': 0.4874, 'grad_norm': 6.314295291900635, 'learning_rate': 3.19e-05, 'epoch': 0.24}
{'loss': 0.4509, 'grad_norm': 8.930870056152344, 'learning_rate': 3.29e-05, 'epoch': 0.25}
{'loss': 0.3807, 'grad_norm': 10.082351684570312, 'learning_rate': 3.3900000000000004e-05, 'epoch': 0.26}
{'loss': 0.4222, 'grad_norm': 10.029881477355957, 'learning_rate': 3.49e-05, 'epoch': 0.27}
{'loss': 0.4699, 'grad_norm': 9.167789459228516, 'learning_rate': 3.59e-05, 'epoch': 0.27}
{'loss': 0.4446, 'grad_norm': 6.953498363494873, 'learning_rate': 3.69e-05, 'epoch': 0.28}
{'loss': 0.3563, 'grad_norm': 10.018383979797363, 'learning_rate': 3.79e-05, 'epoch': 0.29}
{'loss': 0.432, 'grad_norm': 12.803411483764648, 'learning_rate': 3.8900000000000004e-05, 'epoch': 0.3}
{'loss': 0.4509, 'grad_norm': 4.042262077331543, 'learning_rate': 3.99e-05, 'epoch': 0.3}
{'loss': 0.4561, 'grad_norm': 12.020791053771973, 'learning_rate': 4.09e-05, 'epoch': 0.31}
{'loss': 0.4315, 'grad_norm': 8.079521179199219, 'learning_rate': 4.19e-05, 'epoch': 0.32}
{'loss': 0.4493, 'grad_norm': 8.17219066619873, 'learning_rate': 4.29e-05, 'epoch': 0.33}
{'loss': 0.4512, 'grad_norm': 6.16804313659668, 'learning_rate': 4.39e-05, 'epoch': 0.34}
{'loss': 0.4443, 'grad_norm': 6.710605144500732, 'learning_rate': 4.49e-05, 'epoch': 0.34}
{'loss': 0.3958, 'grad_norm': 11.20201587677002, 'learning_rate': 4.5900000000000004e-05, 'epoch': 0.35}
{'loss': 0.4089, 'grad_norm': 9.556884765625, 'learning_rate': 4.69e-05, 'epoch': 0.36}
{'loss': 0.3584, 'grad_norm': 5.754813194274902, 'learning_rate': 4.79e-05, 'epoch': 0.37}
{'loss': 0.3352, 'grad_norm': 9.073230743408203, 'learning_rate': 4.89e-05, 'epoch': 0.37}
{'loss': 0.3791, 'grad_norm': 9.795624732971191, 'learning_rate': 4.99e-05, 'epoch': 0.38}
{'loss': 0.4457, 'grad_norm': 5.343332290649414, 'learning_rate': 4.9976923076923076e-05, 'epoch': 0.39}
{'loss': 0.404, 'grad_norm': 4.065598964691162, 'learning_rate': 4.995128205128205e-05, 'epoch': 0.4}
{'loss': 0.3885, 'grad_norm': 6.02375602722168, 'learning_rate': 4.992564102564103e-05, 'epoch': 0.4}
{'loss': 0.5352, 'grad_norm': 4.167822360992432, 'learning_rate': 4.99e-05, 'epoch': 0.41}
{'loss': 0.3368, 'grad_norm': 9.890131950378418, 'learning_rate': 4.987435897435898e-05, 'epoch': 0.42}
{'loss': 0.5125, 'grad_norm': 10.361481666564941, 'learning_rate': 4.984871794871795e-05, 'epoch': 0.43}
{'loss': 0.4146, 'grad_norm': 9.10440444946289, 'learning_rate': 4.982307692307693e-05, 'epoch': 0.43}
{'loss': 0.5053, 'grad_norm': 6.679738998413086, 'learning_rate': 4.97974358974359e-05, 'epoch': 0.44}
{'loss': 0.4256, 'grad_norm': 4.069036483764648, 'learning_rate': 4.977179487179487e-05, 'epoch': 0.45}
{'loss': 0.3802, 'grad_norm': 7.965210914611816, 'learning_rate': 4.974615384615385e-05, 'epoch': 0.46}
{'loss': 0.4099, 'grad_norm': 6.793618679046631, 'learning_rate': 4.972051282051282e-05, 'epoch': 0.46}
{'loss': 0.4339, 'grad_norm': 8.83082389831543, 'learning_rate': 4.9694871794871796e-05, 'epoch': 0.47}
{'loss': 0.2977, 'grad_norm': 4.9460768699646, 'learning_rate': 4.966923076923077e-05, 'epoch': 0.48}
{'loss': 0.3472, 'grad_norm': 7.286310195922852, 'learning_rate': 4.964358974358975e-05, 'epoch': 0.49}
{'loss': 0.3709, 'grad_norm': 4.824528694152832, 'learning_rate': 4.961794871794872e-05, 'epoch': 0.5}
{'loss': 0.3764, 'grad_norm': 3.2379255294799805, 'learning_rate': 4.959230769230769e-05, 'epoch': 0.5}
{'loss': 0.3031, 'grad_norm': 8.86943531036377, 'learning_rate': 4.956666666666667e-05, 'epoch': 0.51}
{'loss': 0.3305, 'grad_norm': 4.524858474731445, 'learning_rate': 4.9541025641025645e-05, 'epoch': 0.52}
{'loss': 0.3973, 'grad_norm': 7.799496173858643, 'learning_rate': 4.951538461538462e-05, 'epoch': 0.53}
{'loss': 0.4292, 'grad_norm': 4.729830741882324, 'learning_rate': 4.948974358974359e-05, 'epoch': 0.53}
{'loss': 0.294, 'grad_norm': 4.421973705291748, 'learning_rate': 4.946410256410257e-05, 'epoch': 0.54}
{'loss': 0.4305, 'grad_norm': 7.731998920440674, 'learning_rate': 4.943846153846154e-05, 'epoch': 0.55}
{'loss': 0.3421, 'grad_norm': 7.556495189666748, 'learning_rate': 4.9412820512820516e-05, 'epoch': 0.56}
{'loss': 0.4083, 'grad_norm': 4.449371814727783, 'learning_rate': 4.938717948717949e-05, 'epoch': 0.56}
{'loss': 0.3538, 'grad_norm': 4.165122985839844, 'learning_rate': 4.9361538461538464e-05, 'epoch': 0.57}
{'loss': 0.374, 'grad_norm': 3.398514747619629, 'learning_rate': 4.933589743589744e-05, 'epoch': 0.58}
{'loss': 0.3519, 'grad_norm': 5.708996295928955, 'learning_rate': 4.931025641025641e-05, 'epoch': 0.59}
{'loss': 0.393, 'grad_norm': 8.50667953491211, 'learning_rate': 4.928461538461539e-05, 'epoch': 0.59}
{'loss': 0.3049, 'grad_norm': 7.8673248291015625, 'learning_rate': 4.9258974358974365e-05, 'epoch': 0.6}
{'loss': 0.3309, 'grad_norm': 3.0601589679718018, 'learning_rate': 4.9233333333333335e-05, 'epoch': 0.61}
{'loss': 0.315, 'grad_norm': 3.8234167098999023, 'learning_rate': 4.920769230769231e-05, 'epoch': 0.62}
{'loss': 0.3611, 'grad_norm': 4.19448184967041, 'learning_rate': 4.918205128205128e-05, 'epoch': 0.62}
{'loss': 0.3184, 'grad_norm': 4.708369731903076, 'learning_rate': 4.915641025641026e-05, 'epoch': 0.63}
{'loss': 0.3923, 'grad_norm': 4.468518257141113, 'learning_rate': 4.9130769230769237e-05, 'epoch': 0.64}
{'loss': 0.3512, 'grad_norm': 8.029013633728027, 'learning_rate': 4.910512820512821e-05, 'epoch': 0.65}
{'loss': 0.3613, 'grad_norm': 6.925194263458252, 'learning_rate': 4.9079487179487184e-05, 'epoch': 0.65}
{'loss': 0.3396, 'grad_norm': 4.830111503601074, 'learning_rate': 4.9053846153846154e-05, 'epoch': 0.66}
{'loss': 0.3444, 'grad_norm': 6.107131481170654, 'learning_rate': 4.902820512820513e-05, 'epoch': 0.67}
{'loss': 0.313, 'grad_norm': 3.971306800842285, 'learning_rate': 4.90025641025641e-05, 'epoch': 0.68}
{'loss': 0.2687, 'grad_norm': 6.217378616333008, 'learning_rate': 4.897692307692308e-05, 'epoch': 0.69}
{'loss': 0.3272, 'grad_norm': 8.228201866149902, 'learning_rate': 4.8951282051282055e-05, 'epoch': 0.69}
